,DATE_TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,AC_POWER,DC_POWER
0,2020-05-15 01:00:00,24.62,22.17,0.0,0.0,0.0
1,2020-05-15 01:45:00,24.87,23.16,0.0,0.0,0.0
2,2020-05-15 04:15:00,24.35,21.78,0.0,0.0,0.0
3,2020-05-15 04:30:00,24.06,21.85,0.0,0.0,0.0
4,2020-05-15 04:45:00,24.01,22.31,0.0,0.0,0.0
5,2020-05-15 05:00:00,24.18,22.55,0.0,0.0,0.0
6,2020-05-15 06:30:00,23.98,22.89,0.05,1480.1999999999994,15271.159999999998
7,2020-05-15 06:45:00,24.22,24.44,0.1,2790.4400000000005,28626.58
8,2020-05-15 07:00:00,24.54,27.19,0.14,4052.67,41345.92
9,2020-05-15 07:15:00,24.82,28.89,0.15,4368.72,44564.24000000001
10,2020-05-15 07:30:00,24.99,29.61,0.15,4275.9299999999985,43619.3
11,2020-05-15 07:45:00,25.22,29.55,0.14,4352.08,44395.89
12,2020-05-15 08:00:00,25.42,31.41,0.2,6365.6,64834.79
13,2020-05-15 08:15:00,25.96,35.53,0.35,10002.070000000003,101937.16
14,2020-05-15 08:30:00,26.43,40.32,0.41,10995.6,112129.56999999996
15,2020-05-15 08:45:00,26.83,39.08,0.31,9080.07,92505.44
16,2020-05-15 09:00:00,27.62,45.01,0.62,16211.36,165598.90999999995
17,2020-05-15 09:15:00,27.99,46.62,0.34,9692.83,98826.01
18,2020-05-15 09:30:00,27.52,39.14,0.25,7511.399999999999,76522.26
19,2020-05-15 09:45:00,27.45,40.93,0.54,15793.11,161370.03999999998
20,2020-05-15 10:00:00,28.63,52.55,0.67,17896.81,183026.22000000003
21,2020-05-15 10:15:00,28.77,47.63,0.57,15531.94,158716.57
22,2020-05-15 10:30:00,29.35,49.25,0.46,12648.61,129103.65000000002
23,2020-05-15 10:45:00,28.85,44.05,0.36,11091.62,113123.13
24,2020-05-15 11:00:00,29.41,47.69,0.64,18936.55,193768.05
25,2020-05-15 11:15:00,30.22,50.01,0.59,15683.71,160301.23
26,2020-05-15 11:30:00,30.29,49.84,0.56,15207.26,155409.16
27,2020-05-15 11:45:00,30.81,47.84,0.47,16401.6,167668.22999999998
28,2020-05-15 12:00:00,31.31,49.18,0.51,15250.81,155821.69
29,2020-05-15 12:15:00,31.51,49.84,0.79,20477.02,209569.3800000001
30,2020-05-15 12:30:00,32.15,52.35,0.65,19341.72,197884.47
31,2020-05-15 12:45:00,32.39,50.63,0.76,20470.91,209419.25
32,2020-05-15 13:00:00,32.62,49.61,0.42,12721.87,129842.36
33,2020-05-15 13:15:00,32.5,47.01,0.49,14665.98,149740.55
34,2020-05-15 13:30:00,32.52,46.67,0.57,17185.660000000003,175573.45
35,2020-05-15 13:45:00,32.68,47.52,0.56,16736.75,170970.59
36,2020-05-15 14:00:00,33.76,49.8,0.74,21747.06,222438.69
37,2020-05-15 14:15:00,34.13,55.03,0.89,25352.55000000001,259813.29
38,2020-05-15 14:30:00,34.08,54.52,0.47,13989.199999999995,142901.96
39,2020-05-15 14:45:00,33.7,47.62,0.54,15723.069999999998,160715.53000000006
40,2020-05-15 15:00:00,33.89,46.03,0.4,12603.77,128604.37
41,2020-05-15 15:15:00,34.04,44.29,0.45,14031.03,143255.16999999998
42,2020-05-15 15:30:00,34.4,46.74,0.57,16342.909999999998,166946.31999999998
43,2020-05-15 15:45:00,34.43,43.92,0.35,10543.77,107547.13
44,2020-05-15 16:00:00,34.38,43.33,0.36,10704.03,109120.69
45,2020-05-15 16:15:00,34.13,41.01,0.33,9763.46,99492.98
46,2020-05-15 16:30:00,34.36,41.28,0.34,10210.669999999998,104079.63
47,2020-05-15 16:45:00,33.86,39.42,0.26,7643.77,77777.16
48,2020-05-15 17:00:00,33.44,36.83,0.17,4895.0,49913.77
49,2020-05-15 17:15:00,33.3,35.85,0.17,4875.03,49718.66
50,2020-05-15 17:30:00,33.03,34.34,0.09,2558.03,26248.83
51,2020-05-15 17:45:00,32.31,31.55,0.04,1102.0,11391.24
52,2020-05-15 18:00:00,31.13,30.23,0.02,628.3800000000001,6505.0
53,2020-05-15 18:15:00,29.24,28.68,0.01,212.18000000000004,2199.2000000000007
54,2020-05-15 18:30:00,28.5,27.29,0.0,0.0,0.0
55,2020-05-15 18:45:00,27.88,25.96,0.0,0.0,0.0
56,2020-05-15 21:15:00,22.12,20.63,0.0,0.0,0.0
57,2020-05-15 21:30:00,22.22,20.76,0.0,0.0,0.0
58,2020-05-15 21:45:00,22.24,20.91,0.0,0.0,0.0
59,2020-05-15 22:00:00,22.22,20.9,0.0,0.0,0.0
60,2020-05-15 22:15:00,22.15,20.73,0.0,0.0,0.0
61,2020-05-15 22:30:00,22.1,20.83,0.0,0.0,0.0
62,2020-05-15 22:45:00,22.06,21.07,0.0,0.0,0.0
63,2020-05-15 23:00:00,22.24,21.24,0.0,0.0,0.0
64,2020-05-16 02:15:00,21.69,19.92,0.0,0.0,0.0
65,2020-05-16 02:30:00,21.51,19.59,0.0,0.0,0.0
66,2020-05-16 02:45:00,21.5,19.62,0.0,0.0,0.0
67,2020-05-16 03:00:00,21.65,20.07,0.0,0.0,0.0
68,2020-05-16 03:15:00,21.67,20.11,0.0,0.0,0.0
69,2020-05-16 03:30:00,21.73,20.35,0.0,0.0,0.0
70,2020-05-16 03:45:00,21.78,20.51,0.0,0.0,0.0
71,2020-05-16 04:00:00,21.86,20.81,0.0,0.0,0.0
72,2020-05-16 04:15:00,21.9,20.71,0.0,0.0,0.0
73,2020-05-16 04:30:00,21.93,20.73,0.0,0.0,0.0
74,2020-05-16 04:45:00,22.03,20.8,0.0,0.0,0.0
75,2020-05-16 05:00:00,21.93,20.68,0.0,0.0,0.0
76,2020-05-16 05:15:00,21.87,20.47,0.0,0.0,0.0
77,2020-05-16 05:30:00,21.88,20.76,0.0,0.0,0.0
78,2020-05-16 05:45:00,21.96,20.54,0.0,0.0,0.0
79,2020-05-16 06:00:00,21.92,20.26,0.01,109.18,1131.0400000000004
80,2020-05-16 06:15:00,21.86,20.43,0.02,722.4300000000003,7475.34
81,2020-05-16 06:30:00,21.99,21.2,0.05,1505.3099999999995,15531.419999999998
82,2020-05-16 06:45:00,22.14,22.19,0.08,2414.69,24837.37000000001
83,2020-05-16 07:00:00,22.45,23.11,0.11,3337.74,34152.96
84,2020-05-16 07:15:00,22.65,24.24,0.14,4249.37,43348.039999999986
85,2020-05-16 07:30:00,22.98,25.67,0.17,5338.830000000001,54443.98
86,2020-05-16 07:45:00,23.39,27.94,0.24,7404.73,75347.57
87,2020-05-16 08:00:00,23.89,30.79,0.3,9070.46,92338.63
88,2020-05-16 08:15:00,24.43,33.01,0.34,10321.05,105235.31
89,2020-05-16 08:30:00,25.17,36.61,0.43,12793.21,130559.58
90,2020-05-16 08:45:00,25.76,38.89,0.47,13958.06,142487.02000000002
91,2020-05-16 09:00:00,26.0,38.71,0.46,13808.63,140956.3
92,2020-05-16 09:15:00,26.3,39.34,0.42,12505.06,127605.15
93,2020-05-16 09:30:00,26.59,39.88,0.42,12717.13,129779.38999999998
94,2020-05-16 09:45:00,27.03,41.83,0.54,15778.160000000005,161148.22999999998
95,2020-05-16 10:00:00,27.61,46.07,0.49,15823.049999999996,161620.16
96,2020-05-16 10:15:00,27.93,44.47,0.47,15370.6,156988.03
97,2020-05-16 10:30:00,28.28,48.96,0.65,20231.71,206873.07
98,2020-05-16 10:45:00,28.78,50.15,0.6,17914.66,183095.43000000005
99,2020-05-16 11:00:00,29.16,49.16,0.58,17355.68,177344.39
100,2020-05-16 11:15:00,29.36,48.12,0.54,16382.219999999998,167348.37
101,2020-05-16 11:30:00,29.69,46.52,0.49,15434.860000000002,157634.84
102,2020-05-16 11:45:00,29.85,47.04,0.62,19073.230000000003,194969.02000000005
103,2020-05-16 12:00:00,30.09,50.09,0.66,19409.370000000006,198417.84
104,2020-05-16 12:15:00,30.38,48.68,0.54,16146.920000000002,164938.35000000006
105,2020-05-16 12:30:00,30.89,50.45,0.77,22351.08,228677.55000000005
106,2020-05-16 12:45:00,31.22,54.23,0.81,23955.6,245404.2
107,2020-05-16 13:00:00,31.31,52.85,0.64,18721.410000000003,191385.50000000003
108,2020-05-16 13:15:00,31.66,52.05,0.73,22843.68,233783.15
109,2020-05-16 13:30:00,31.62,49.75,0.58,18158.72,185596.86000000004
110,2020-05-16 13:45:00,31.37,47.3,0.5,15212.2,155359.83
111,2020-05-16 14:00:00,31.42,46.57,0.44,13548.98,138304.0
112,2020-05-16 14:15:00,31.99,47.83,0.6,18380.160000000003,187844.46
113,2020-05-16 14:30:00,32.24,48.36,0.53,16046.51,163898.12999999998
114,2020-05-16 14:45:00,32.35,46.2,0.51,15714.45,160488.72
115,2020-05-16 15:00:00,32.44,45.77,0.5,15448.61,157761.04
116,2020-05-16 15:15:00,32.52,45.84,0.42,12795.34,130584.20999999998
117,2020-05-16 15:30:00,32.33,43.17,0.35,10918.92,111366.89
118,2020-05-16 15:45:00,32.1,39.81,0.26,8340.43,84875.48
119,2020-05-16 16:00:00,32.03,37.71,0.23,7303.129999999999,74288.8
120,2020-05-16 16:15:00,31.96,36.3,0.19,6150.510000000001,62692.46
121,2020-05-16 16:30:00,31.91,35.77,0.18,5608.74,57192.37999999999
122,2020-05-16 16:45:00,31.89,34.78,0.15,4775.550000000001,48707.75
123,2020-05-16 17:00:00,31.75,33.74,0.13,4240.31,43256.569999999985
124,2020-05-16 17:15:00,31.54,32.75,0.11,3448.07,35250.16
125,2020-05-16 17:30:00,31.3,31.6,0.08,2516.7900000000004,25881.81
126,2020-05-16 17:45:00,31.05,30.12,0.05,1603.1,16533.93
127,2020-05-16 18:00:00,30.31,28.36,0.03,833.8500000000001,8626.340000000002
128,2020-05-16 18:15:00,29.55,26.94,0.01,267.33,2770.2699999999995
129,2020-05-16 18:30:00,28.97,25.91,0.0,0.0,0.0
130,2020-05-16 18:45:00,28.69,25.5,0.0,0.0,0.0
131,2020-05-16 19:00:00,28.31,25.38,0.0,0.0,0.0
132,2020-05-16 19:15:00,27.96,25.2,0.0,0.0,0.0
133,2020-05-16 19:30:00,27.57,25.17,0.0,0.0,0.0
134,2020-05-16 19:45:00,27.26,24.95,0.0,0.0,0.0
135,2020-05-16 20:00:00,26.94,24.5,0.0,0.0,0.0
136,2020-05-16 20:15:00,26.7,24.08,0.0,0.0,0.0
137,2020-05-16 20:30:00,26.48,23.83,0.0,0.0,0.0
138,2020-05-16 20:45:00,26.31,23.62,0.0,0.0,0.0
139,2020-05-16 21:00:00,26.01,23.32,0.0,0.0,0.0
140,2020-05-16 21:15:00,25.62,22.95,0.0,0.0,0.0
141,2020-05-16 21:30:00,25.29,22.65,0.0,0.0,0.0
142,2020-05-16 21:45:00,25.12,22.43,0.0,0.0,0.0
143,2020-05-16 22:00:00,25.05,22.29,0.0,0.0,0.0
144,2020-05-16 22:15:00,24.84,22.08,0.0,0.0,0.0
145,2020-05-16 22:30:00,24.61,21.98,0.0,0.0,0.0
146,2020-05-16 22:45:00,24.49,22.05,0.0,0.0,0.0
147,2020-05-16 23:00:00,24.46,22.19,0.0,0.0,0.0
148,2020-05-16 23:15:00,24.39,22.2,0.0,0.0,0.0
149,2020-05-16 23:30:00,24.38,22.11,0.0,0.0,0.0
150,2020-05-16 23:45:00,24.25,21.81,0.0,0.0,0.0
151,2020-05-17 00:00:00,24.17,21.63,0.0,0.0,0.0
152,2020-05-17 00:15:00,24.01,21.65,0.0,0.0,0.0
153,2020-05-17 00:30:00,23.89,21.49,0.0,0.0,0.0
154,2020-05-17 00:45:00,23.94,21.52,0.0,0.0,0.0
155,2020-05-17 01:00:00,23.88,21.54,0.0,0.0,0.0
156,2020-05-17 01:15:00,23.76,21.4,0.0,0.0,0.0
157,2020-05-17 01:30:00,23.73,21.87,0.0,0.0,0.0
158,2020-05-17 01:45:00,23.73,21.65,0.0,0.0,0.0
159,2020-05-17 02:00:00,23.52,21.34,0.0,0.0,0.0
160,2020-05-17 02:15:00,23.46,21.36,0.0,0.0,0.0
161,2020-05-17 02:30:00,23.39,21.38,0.0,0.0,0.0
162,2020-05-17 02:45:00,23.27,21.26,0.0,0.0,0.0
163,2020-05-17 03:00:00,23.32,21.5,0.0,0.0,0.0
164,2020-05-17 03:15:00,23.21,21.46,0.0,0.0,0.0
165,2020-05-17 03:30:00,22.95,20.88,0.0,0.0,0.0
166,2020-05-17 03:45:00,22.94,20.81,0.0,0.0,0.0
167,2020-05-17 04:00:00,22.86,20.76,0.0,0.0,0.0
168,2020-05-17 04:15:00,22.82,20.89,0.0,0.0,0.0
169,2020-05-17 04:30:00,22.87,21.15,0.0,0.0,0.0
170,2020-05-17 04:45:00,22.75,21.08,0.0,0.0,0.0
171,2020-05-17 05:00:00,22.57,20.85,0.0,0.0,0.0
172,2020-05-17 05:15:00,22.57,20.91,0.0,0.0,0.0
173,2020-05-17 05:30:00,22.55,21.07,0.0,0.0,0.0
174,2020-05-17 05:45:00,22.59,21.23,0.0,0.0,0.0
175,2020-05-17 06:00:00,22.69,21.42,0.0,3.27,33.87
176,2020-05-17 06:15:00,22.79,21.69,0.01,259.16,2686.330000000001
177,2020-05-17 06:30:00,22.69,21.89,0.03,963.44,9962.37
178,2020-05-17 06:45:00,22.95,22.6,0.07,1883.06,19398.23
179,2020-05-17 07:00:00,23.29,23.83,0.11,3034.25,31089.0
180,2020-05-17 07:15:00,23.61,25.83,0.2,5296.41,54007.75
181,2020-05-17 07:30:00,23.91,27.5,0.22,6154.7199999999975,62683.92999999999
182,2020-05-17 07:45:00,24.33,30.98,0.32,9265.56,94392.71
183,2020-05-17 08:00:00,25.06,34.63,0.38,10929.81,111470.26
184,2020-05-17 08:15:00,25.65,37.82,0.38,11135.3,113588.19
185,2020-05-17 08:30:00,26.15,40.33,0.42,12057.79,123013.85999999994
186,2020-05-17 08:45:00,27.03,44.46,0.56,16134.9,164801.15999999995
187,2020-05-17 09:00:00,27.68,48.18,0.58,16595.96,169528.37
188,2020-05-17 09:15:00,27.99,45.12,0.44,13991.15,142848.47999999998
189,2020-05-17 09:30:00,28.6,46.9,0.63,17965.32,183590.81
190,2020-05-17 09:45:00,29.24,49.94,0.77,22218.23,227299.57
191,2020-05-17 10:00:00,30.09,52.09,0.75,21149.99,216354.17
192,2020-05-17 10:15:00,30.03,48.93,0.72,20861.58,213328.33
193,2020-05-17 10:30:00,30.16,50.72,0.69,21990.9,225160.43
194,2020-05-17 10:45:00,31.07,55.45,0.86,24634.42000000001,252507.32
195,2020-05-17 11:00:00,31.16,55.29,0.81,23719.47,243104.78
196,2020-05-17 11:15:00,31.53,60.21,1.0,27034.64,277243.94999999995
197,2020-05-17 11:30:00,32.32,63.15,0.98,26224.07,268838.81
198,2020-05-17 11:45:00,32.53,61.8,0.87,23074.480000000003,236420.66000000003
199,2020-05-17 12:00:00,32.5,56.1,0.64,17569.649999999998,179601.34
200,2020-05-17 12:15:00,32.99,55.09,0.78,22708.04,232526.08
201,2020-05-17 12:30:00,33.11,56.42,0.67,17951.910000000003,183652.22
202,2020-05-17 12:45:00,33.65,56.56,0.84,22497.83,230469.86
203,2020-05-17 13:00:00,33.89,53.81,0.42,12658.4,129220.91
204,2020-05-17 13:15:00,33.05,43.39,0.45,13890.5,141976.27999999994
205,2020-05-17 13:30:00,33.73,54.29,0.74,21993.31,225256.1
206,2020-05-17 13:45:00,34.05,52.03,0.63,18266.870000000006,186896.54
207,2020-05-17 14:00:00,34.48,55.33,0.7,19093.960000000006,195425.28000000003
208,2020-05-17 14:15:00,34.3,47.85,0.43,12450.160000000002,127088.58
209,2020-05-17 14:30:00,34.02,44.91,0.32,8580.11,87466.93000000001
210,2020-05-17 14:45:00,34.15,47.64,0.66,20508.25,209780.79
211,2020-05-17 15:00:00,35.11,54.05,0.68,19932.61,203799.68
212,2020-05-17 15:15:00,35.25,49.99,0.51,15414.27,157427.56
213,2020-05-17 15:30:00,34.98,49.42,0.59,17053.46,174269.93
214,2020-05-17 15:45:00,34.61,43.39,0.29,9080.12,92518.65
215,2020-05-17 16:00:00,34.74,44.05,0.45,13724.55,140131.21000000002
216,2020-05-17 16:15:00,31.03,39.53,0.34,10094.7,102908.55
217,2020-05-17 16:30:00,29.57,36.28,0.29,9136.15,93120.15
218,2020-05-17 16:45:00,29.36,35.6,0.26,8045.35,81902.26999999999
219,2020-05-17 17:00:00,28.75,32.94,0.14,4395.6,44835.78000000001
220,2020-05-17 17:15:00,28.3,30.63,0.12,3597.6,36720.34
221,2020-05-17 17:30:00,27.6,29.48,0.09,2933.9999999999986,30144.79
222,2020-05-17 17:45:00,26.73,27.92,0.06,1867.33,19238.32
223,2020-05-17 18:00:00,26.35,26.41,0.02,674.78,6983.26
224,2020-05-17 18:15:00,26.14,25.37,0.01,277.84,2879.69
225,2020-05-17 18:30:00,26.14,25.05,0.0,0.0,0.0
226,2020-05-17 18:45:00,26.0,24.62,0.0,0.0,0.0
227,2020-05-17 19:00:00,25.86,24.04,0.0,0.0,0.0
228,2020-05-17 19:15:00,25.98,24.02,0.0,0.0,0.0
229,2020-05-17 19:30:00,25.91,24.08,0.0,0.0,0.0
230,2020-05-17 19:45:00,25.82,24.16,0.0,0.0,0.0
231,2020-05-17 20:00:00,25.67,24.32,0.0,0.0,0.0
232,2020-05-17 20:15:00,25.5,23.83,0.0,0.0,0.0
233,2020-05-17 20:30:00,25.29,23.79,0.0,0.0,0.0
234,2020-05-17 20:45:00,25.29,24.13,0.0,0.0,0.0
235,2020-05-17 21:00:00,25.38,24.57,0.0,0.0,0.0
236,2020-05-17 21:15:00,22.5,21.09,0.0,0.0,0.0
237,2020-05-17 21:30:00,21.51,20.43,0.0,0.0,0.0
238,2020-05-17 21:45:00,21.29,20.38,0.0,0.0,0.0
239,2020-05-17 22:00:00,21.24,20.45,0.0,0.0,0.0
240,2020-05-17 22:15:00,21.26,20.51,0.0,0.0,0.0
241,2020-05-17 22:30:00,21.31,20.63,0.0,0.0,0.0
242,2020-05-17 22:45:00,21.32,20.69,0.0,0.0,0.0
243,2020-05-17 23:00:00,21.22,20.59,0.0,0.0,0.0
244,2020-05-17 23:15:00,21.22,20.64,0.0,0.0,0.0
245,2020-05-17 23:30:00,21.27,20.63,0.0,0.0,0.0
246,2020-05-17 23:45:00,21.21,20.56,0.0,0.0,0.0
247,2020-05-18 00:00:00,21.16,20.6,0.0,0.0,0.0
248,2020-05-18 00:15:00,21.04,20.48,0.0,0.0,0.0
249,2020-05-18 00:30:00,21.14,20.53,0.0,0.0,0.0
250,2020-05-18 00:45:00,21.14,20.53,0.0,0.0,0.0
251,2020-05-18 01:00:00,21.07,20.48,0.0,0.0,0.0
252,2020-05-18 01:15:00,20.99,20.39,0.0,0.0,0.0
253,2020-05-18 01:30:00,20.98,20.38,0.0,0.0,0.0
254,2020-05-18 01:45:00,21.03,20.39,0.0,0.0,0.0
255,2020-05-18 02:00:00,20.97,20.33,0.0,0.0,0.0
256,2020-05-18 02:15:00,21.01,20.22,0.0,0.0,0.0
257,2020-05-18 02:30:00,21.13,20.22,0.0,0.0,0.0
